organization,product,address,telephone,category,decision_number,decision_date,permit_place,operational_date,description,status,barcode,email,website
PT Artajasa Pembayaran Elektronis,,"Grha Artajasa, Jalan Letnan Sutopo Blok B.1 No. 3 Sektor Komersil III B, Lengkong Gudang Timur, Serpong, Kota Tangerang Selatan, Banten 15310",,Payment System Infrastructure Provider,23/4/KEP.DpG/2021,9/24/2021,Departemen Kebijakan Sistem Pembayaran,9/24/2021,"ATM Card, Debit Card Clearing and Settlement",Berizin (Telah Operasional),,,
PT Jalin Pembayaran Nusantara,,"Dea Tower 1 Lantai 7 Suite 702, Jl. Mega Kuningan Barat IX Kav. 4.3 No. 1, Kawasan Mega Kuningan RT/RW 0/0 Kel. Kuningan Timur, Kec. Setiabudi, Kota Administrasi Jakarta Selatan",,Payment System Infrastructure Provider,23/5/KEP.DpG/2021,9/24/2021,Departemen Kebijakan Sistem Pembayaran,9/24/2021,"ATM Card, Debit Card Clearing and Settlement",Berizin (Telah Operasional),,,
PT Alto Network,,"Satrio Tower Building Lt. 12, Jl. Prof. Dr. Satrio Blok 4C No. 5, Karet Kuningan, Jakarta 12950",,Payment System Infrastructure Provider,23/3/KEP.DpG/2021,9/24/2021,Departemen Kebijakan Sistem Pembayaran,9/24/2021,"ATM Card, Debit Card Clearing and Settlement",Berizin (Telah Operasional),,,
PT Artajasa Pembayaran Elektronis,MYNT E-Money,"Grha Artajasa, Jalan Letnan Sutopo Blok B.1 No. 3 Sektor Komersil III B, Lengkong Gudang Timur, Serpong, Kota Tangerang Selatan, Banten 15310",,Payment Service Provider - License Category I,23/897/DKSP/Srt/B,9/24/2021,Departemen Kebijakan Sistem Pembayaran,9/24/2021,"Account Issuance Services, Payment Initiation and/or Acquiring Services, Remittance Services",Berizin (Telah Operasional),0001.001/0035,,
PT Alto Network,,"Satrio Tower Building Lt. 12, Jl. Prof. Dr. Satrio Blok 4C No. 5, Karet Kuningan, Jakarta 12950",,Payment Service Provider - License Category 3,23/900/DKSP/Srt/B,9/24/2021,Departemen Kebijakan Sistem Pembayaran,9/24/2021,Remittance Services,Berizin (Telah Operasional),0002.001/0010,,
PT Capital Net Indonesia,Virgo,Menara Jamsostek Lt. 5 Jl. Gatot Subroto No. 38 Jakarta Selatan,,Payment Service Provider - License Category I,23/855/DKSP/Srt/B,9/15/2021,Departemen Kebijakan Sistem Pembayaran,9/15/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT Mareco Prima Mandiri,Dipay,"Satrio Tower Building Lt. 14 Unit 2B, Jl. Prof. Dr. Satrio Kav. C4 Mega Kuningan, Jakarta",(021) 2527003,QRIS,23/848/DKSP/Srt/B,9/6/2021,Departemen Kebijakan Sistem Pembayaran,,QRIS Operators,Berizin (Telah Operasional),,cs@dipay.id,
PT Kharisma Catur Mandala,,"Graha Handaya Unit R S T, Jl Raya Perjuangan No. 12A, Kebon Jeruk, Jakarta Barat",,Payment Service Provider - License Category 3,23/660/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Remittance Services,Berizin (Telah Operasional),0002.001/0025,,
PT Media Indonusa,,"Graha Astel, Jl. Pintu Air Raya No.2A, Jakarta 10710",,Payment Service Provider - License Category 3,23/665/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Remittance Services,Berizin (Telah Operasional),0002.001/0029,,
PT Allo Bank Indonesia Tbk (d/h Bank Harda Internasional),,"ASEAN Tower Lt. 1 dan 3, Jl. KH. Samanhudi No. 10, Jakarta Pusat",,Payment Service Provider - License Category I,23/693/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT Cashfazz Teknologi Nusantara,Cashfazz,"Pacific Century Place 28, Jl. Jendral Sudirman Kav. 52 – 53, RT/RW. 05/03, Senayan, Kebayoran Baru Jakarta Selatan 12190",,Payment Service Provider - License Category I,23/730/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT CTBC Indonesia (d/h PT Bank Chinatrust Indonesia),,"Tamara Center 16th – 17th Floor, Jl. Jend. Sudirman Kav. 24, Jakarta 12920",,Payment Service Provider - License Category I,23/688/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT Datacell Infomedia,PAYDIA,"Graha Astel, Jl. Pintu Air Raya No. 2A, Jakarta Pusat",,Payment Service Provider - License Category I,23/565/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Remittance Services",Berizin (Telah Operasional),0002.001/0044,,
PT Dompet Anak Bangsa (d/h PT MV Commerce Indonesia),Gopay,"Gd. Pasaraya Blok M, Gedung B Lantai 6 & 7, Jl. Iskandarsyah II No. 2, Kebayoran Baru, Jakarta Selatan 12160",,Payment Service Provider - License Category I,23/568/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Remittance Services",Berizin (Telah Operasional),,,
PT Duta Teknologi Kreatif,"Dutamoney, DutaPay","Jalan Raya By Pass Juanda Baru No. 19, Kel. Sedatigede, Kec. Sedati, Kab. Sidoarjo, Jawa Timur",,Payment Service Provider - License Category I,23/569/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Payment Initiation and/or Acquiring Services, Remittance Services",Berizin (Telah Operasional),,,
PT E2Pay Global Utama,"M-Bayar, E2Pay","Graha Aktiva Lantai 6, Jalan HR Rasuna Said Blok X-1 Kav 3, Jakarta Selatan",,Payment Service Provider - License Category I,23/570/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Payment Initiation and/or Acquiring Services, Remittance Services",Berizin (Telah Operasional),,,
PT Espay Debit Indonesia Koe,Dana,"Gedung Capital Place Lt. 18, Jl. Jend. Gatot Subroto Kav. 18, Kuningan Barat, Mampang Prapatan, Jakarta Selatan 12710 ",,Payment Service Provider - License Category I,23/571/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Payment Initiation and/or Acquiring Services, Remittance Services",Berizin (Telah Operasional),,,
PT Ezeelink Indonesia,Ezeelink,"Wisma Techking, Jl. A.M Sangaji No. 24, Jakarta Pusat 10130",,Payment Service Provider - License Category I,23/572/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT Fasa Centra Artajaya,Fasapay,"Grha Karya Jody Lantai 1 Jalan Cempaka Baru No.09 Karang Asem, Condong Catur, Depok, Sleman D.I. YOGYAKARTA - 55283",,Payment Service Provider - License Category I,23/732/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Remittance Services",Berizin (Telah Operasional),,,
PT Finnet Indonesia,"Finpay Money, Finpay Payment Gateway","Telkom Landmark Tower, Lantai 28, Jl. Jend Gatot Subroto Kav. 52, RT/RW.004/001, Kelurahan Kuningan Barat, Kecamatan Mampang Prapatan, Jakarta Selatan 12710",,Payment Service Provider - License Category I,23/573/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Payment Initiation and/or Acquiring Services, Remittance Services",Berizin (Telah Operasional),,,
PT Fintek Karya Nusantara,LinkAja,"Energy Building, Lt. 21, Jl. Jend. Sudirman, SCBD, Lot  11A, Kav. 52-53, Senayan, Kebayoran Baru, Jakarta Selatan, 12190",,Payment Service Provider - License Category I,23/574/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Remittance Services",Berizin (Telah Operasional),,,
PT Bank Amar indonesia,,"Jl. Basuki Rahmat No. 109, Surabaya 60271",,Payment Service Provider - License Category I,23/601/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT Bank Aceh Syariah (d/h PT Bank Aceh),,"Jl. Mr. Mohd. Hasan No. 89, Batoh, Banda Aceh",,Payment Service Provider - License Category I,23/600/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
"PT Bank Artha Graha Internasional, Tbk",BAGI,"Gedung Graha Niaga, Kawasan Niaga Terpadu (SCBD),  Jl. Jend. Sudirman Kav.52-53, Jakarta 12190 ",,Payment Service Provider - License Category I,23/602/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT Indo Sukses Mandiri,Euri,"Rukan Graha Cempaka Mas Blok E No. 23, Lantai 3 dan 4 Jl. Letjend Suprapto, Sumur Batu, Kemayoran JAKARTA PUSAT 10640",,Payment Service Provider - License Category I,23/731/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
"PT Indosat, Tbk",IMkas (d/h PayPro d/h Dompetku),"Gedung Indosat Lt. 19, Jl. Medan Merdeka Barat No. 21, Jakarta 10110",,Payment Service Provider - License Category I,23/578/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Remittance Services",Berizin (Telah Operasional),,,
PT Inti Dunia Sukses ,iSaku,"Jl. Ancol Barat I No.9-10 Kelurahan Ancol, Kecamatan Pademangan, Jakarta Utara 14430",,Payment Service Provider - License Category I,23/655/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Remittance Services",Berizin (Telah Operasional),,,
PT Jatelindo Perkasa Abadi,Fello,"Jl. Sunan Kalijaga No. 63 B, Melawai, Jakarta Selatan",,Payment Service Provider - License Category I,23/658/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Remittance Services",Berizin (Telah Operasional),,,
PT Kereta Commuter Indonesia,KMT,"Stasiun Juanda, Jalan Ir. H. Juanda 1, Jakartav Pusat 10120",,Payment Service Provider - License Category I,23/659/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT Mareco Prima Mandiri,Evy,"Satrio Tower Building Lt. 14 Unit 2B, Jl. Prof. Dr. Satrio Kav. C4 Mega Kuningan, Jakarta",,Payment Service Provider - License Category I,23/661/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Remittance Services",Berizin (Telah Operasional),,,
PT Mass Rapid Transit,MTT,"Wisma Nusantara Lantai 21, Jl. M.H. Thamrin No.59, Jakarta Pusat 10350",,Payment Service Provider - License Category I,23/662/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT Max Interactives Tecnologies,,"Menara Kuningan Lt. 30, Unit B-C",,Payment Service Provider - License Category I,23/663/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT Midazpay Digital Indonesia,Midazpay,"Neo Soho Podomoro City, Suite 1610 Jl. Letjen S. Parman Kav. 28, Kec. Grogol Petamburan JAKARTA BARAT 11470",,Payment Service Provider - License Category I,23/734/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Remittance Services",Berizin (Telah Operasional),,,
PT Mitra Pembayaran Elektronik,Saldomu,"Jl. Ruko Villa Bukit Mas RE No.7 Dukuh Pakis, Surabaya 60225",,Payment Service Provider - License Category I,23/667/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Remittance Services",Berizin (Telah Operasional),,,
PT MNC Teknologi Nusantara,Spinpay,"iNews Tower lantai 2, MNC Center, Jalan Kebon Sirih No. 17-19, Jakarta",,Payment Service Provider - License Category I,23/669/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Payment Initiation and/or Acquiring Services, Remittance Services",Berizin (Telah Operasional),,,
PT Netzme Kreasi Indonesia,Netzme,"Satrio Tower, Lt. 24 Suite 24.3, Jl. Prof. Dr. Satrio Blok C4 No. 5, Kuningan Timur, Setiabudi, Jakarta Selatan",,Payment Service Provider - License Category I,23/672/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Remittance Services",Berizin (Telah Operasional),,,
PT Nusa Satu Inti Artha ,DOKU,"Menara Mulia Lantai 8, Jl. Jend. Gatot Subroto Kav. 9-11, Jakarta 12930",,Payment Service Provider - License Category I,23/673/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Payment Initiation and/or Acquiring Services, Remittance Services",Berizin (Telah Operasional),,,
PT Gpay Digital Asia,GPay,"Sahid Sudirman Centre Lt. 36, Jl. Jend. Sudirman Kav 86, Jakarta 10220",(021) 29186667,Payment Service Provider - License Category I,23/575/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,,Account Issuance Services,Berizin (Telah Operasional),,,
PT Home Credit Indonesia,,"Plaza Oleos Lantai 8 Jl. TB Simatupang No. 53A, Jakarta Selatan 12520",,Payment Service Provider - License Category I,23/576/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT Honest Financial Technologies (d/h PT Sahabat Finansial Keluarga),,"Gedung BRI II, Jl. Jend Sudirman Kav 42-45, Jakarta 10210",,Payment Service Provider - License Category I,23/679/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT BPRS Bahari Berkesan,,"Jl. Sultan I.M. Djabir Sjah, Kelurahan Gamalama, Kecamatan Ternate Tengah, Kota Ternate",,Payment Service Provider - License Category I,23/654/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT Buana Media Teknologi,Gudang Voucher,"Jl. Ciputat Raya No. 28B, Kebayoran Lama Selatan, Jakarta Selatan 12240",,Payment Service Provider - License Category I,23/562/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Remittance Services",Berizin (Telah Operasional),,,
PT Cakra Ultima Sejahtera,DUWIT,"Gedung AXA Tower, Kuningan City Lt. 7, Jl. Prof. Dr. Satrio Kav. 18, Karet, Kuningan, Setiabudi",,Payment Service Provider - License Category I,23/563/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
"PT Pan Indonesia Bank, Tbk (PT Bank Panin)",,"Gedung Panin Centre Lt. 1-2, Jl. Jend. Sudirman Kav. 1 Jakarta",,Payment Service Provider - License Category I,23/714/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Payment Initiation and/or Acquiring Services",Berizin (Telah Operasional),,,
PT Paprika Multi Media,Paprika,"Gedung PP, Jl. Pasir Putih Raya No. 28 lantai 6, Pademangan, Jakarta Utara",,Payment Service Provider - License Category I,23/715/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Payment Initiation and/or Acquiring Services, Remittance Services",Berizin (Telah Operasional),,,
PT Prima Master Bank,,"Jl. Jembatan Merah 15-17, Surabaya 60175",,Payment Service Provider - License Category I,23/715/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,,Account Issuance Services,Berizin (Telah Operasional),,,
PT Rpay Finansial Digital Indonesia ,Yourpay,"Gedung Capitol Lt. 7, Jl. Prapatan No. 14 – 16SA, Senen, Jakarta Pusat 10410",,Payment Service Provider - License Category I,23/678/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Remittance Services",Berizin (Telah Operasional),,,
PT Sarana Pactindo,PACCash,"Jalan Soekarno-Hatta No. 269, Bandung 40235",,Payment Service Provider - License Category I,23/580/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT Shinhan Indo Finance,,"Wisma Indomobil 1 Lantai 10 Jl. MT Haryono Kav. 8, Jakarta 13330",,Payment Service Provider - License Category I,23/581/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT Skye Sab Indonesia,"Skye Card, Skye Mobile Money","Jl. Pangeran Antasari No. 18A, Kebayoran Baru, Jakarta Selatan 12150",,Payment Service Provider - License Category I,23/583/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
"PT Smartfren Telecom, Tbk",Uangku,"Jl. H. Agus Salim No. 45 Menteng, Jakarta Pusat 10340",,Payment Service Provider - License Category I,23/584/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Remittance Services",Berizin (Telah Operasional),,,
PT Solusi Pasti Indonesia,KasPro (d/h PayU),"Prudential Center - Kota Kasablanka Lt.5 Unit F-G, Jl. Kasablanka Raya Kav. 88, Jakarta 12870",,Payment Service Provider - License Category I,23/585/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Remittance Services",Berizin (Telah Operasional),,,
"PT Telekomunikasi Indonesia, Tbk",Flexy Cash,"Jl. Japati No. 1, Bandung",,Payment Service Provider - License Category I,23/587/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Remittance Services",Berizin (Telah Operasional),,,
PT Telekomunikasi Selular,T-Cash,"Komplek Telkom Landmark Tower, Jl. Jend. Gatot Subroto Kav. 52, Jakarta 12710",,Payment Service Provider - License Category I,23/588/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Remittance Services",Berizin (Telah Operasional),,,
PT Transaksi Artha Gemilang,OttoCash,"Jl. Prof. DR. Soepomo No. 2, Unit 103 RT 10/ RW 15, Menteng Dalam, Kec. Tebet, Kota Jakarta Selatan, Jakarta 12870",,Payment Service Provider - License Category I,23/589/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Remittance Services",Berizin (Telah Operasional),,,
PT Veritra Sentosa Internasional ,Paytren,"Equity Tower, 49th Floor Unit B, C, F, Jl. Jend. Sudirman Kav.52-53, SCBD, Jakarta Selatan 12190",,Payment Service Provider - License Category I,23/591/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Remittance Services",Berizin (Telah Operasional),,,
PT Visi Jaya Indonesia,Eidupay,"Balimuda Center, Jl. Mampang Prapatan XIV No. 99, Jakarta Selatan 12790",,Payment Service Provider - License Category I,23/592/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Remittance Services",Berizin (Telah Operasional),,,
PT Visionet Internasional,,"Gedung Millenium Centennial Center Lt. 29, Jl. Jend. Sudirman Kav 25, Jakarta Selatan 12920",,Payment Service Provider - License Category I,23/593/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Remittance Services",Berizin (Telah Operasional),,,
PT Witami Tunai Mandiri,Truemoney,"Gran Rubina Business Park, Generali Tower Lt. 19, Jl. HR Rasuna Said Kav. C-22, Jakarta Selatan, DKI Jakarta 12940",,Payment Service Provider - License Category I,23/594/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Remittance Services",Berizin (Telah Operasional),,,
"PT XL Axiata, Tbk",XL Tunai,"XL Axiata Tower, Jl. H.R. Rasuna Said X5 Kav. 11 - 12, Jakarta Selatan 12950",,Payment Service Provider - License Category I,23/595/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Remittance Services",Berizin (Telah Operasional),,,
PT Yukk Kreasi Indonesia,Yukk,"Jalan Sutera, Ruko De Mansion Blok D No. 17, Alam Sutera, Tangerang 15144",,Payment Service Provider - License Category I,23/596/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Remittance Services",Berizin (Telah Operasional),,,
"PT Bank Tabungan Pensiunan Nasional (Persero), Tbk",,"Menara BTPN Lantai 12 CBD Mega Kuningan, Jl. Dr. Ide Anak Agung Gde Agung Kav. 5.5-5.6, Kel. Kuning Timur, Kec. Setiabudi, Kota Jakarta Selatan, DKI Jakarta",,Payment Service Provider - License Category I,23/680/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT Bank Mega Syariah Indonesia,,"Menara Mega Syariah, Jl. HR. Rasuna Said Kav. 19A, Jakarta 12950",,Payment Service Provider - License Category I,23/611/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
Standard Chartered Bank,,"Menara Standard Chartered, Jl. Prof. DR. Satrio No. 164, Jakarta 12930",,Payment Service Provider - License Category I,23/716/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT Aino Indonesia,Aino,"UGM Samator Pendidikan Building, Tower B 10th Floor, Jalan Prof. Dr. Sardjito No. 25 Yogyakarta 55223",,Payment Service Provider - License Category 2,23/556/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Payment Initiation and/or Acquiring Services,Berizin (Telah Operasional),,,
PT Cashlez Worlwide Indonesia,Cashlez,"Podomoro Avenue, Garden Shopping Arcade Blok Beauford No.8 BA, Jl. Letjen S. Parman Kav.28, Slipi, Kel. Tanjung Duren Selatan, Kec. Grogol Petamburan, Jakarta Barat, 11470",,Payment Service Provider - License Category 2,23/564/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Payment Initiation and/or Acquiring Services,Berizin (Telah Operasional),,,
